platform,scenario,ram_used,ram_delta,flash_used,flash_delta
esp32,baseline,45232,0,884428,0
esp32,json,45536,304,884876,448
esp32,rpc-types,47888,2656,888304,3876
esp32,serial-client,47608,2376,893900,9472
esp32,serial-server,48128,2896,899156,14728
esp32,http-client,46928,1696,911948,27520
esp32,http-server,49440,4208,915320,30892
esp32,safe-http-client,46928,1696,915824,31396
esp32,safe-http-server,49440,4208,918016,33588
esp32,safe-http-server-no-schema,49184,3952,917212,32784
esp32,safe-http-server-no-batch,49440,4208,916740,32312
esp8266,baseline,28132,0,265891,0
esp8266,json,28448,316,266407,516
esp8266,rpc-types,29964,1832,269747,3856
esp8266,serial-client,29844,1712,275819,9928
esp8266,serial-server,30764,2632,280059,14168
esp8266,http-client,29384,1252,287451,21560
esp8266,http-server,31056,2924,289659,23768
esp8266,safe-http-client,29464,1332,290091,24200
esp8266,safe-http-server,31056,2924,291491,25600
esp8266,safe-http-server-no-schema,30672,2540,290907,25016
esp8266,safe-http-server-no-batch,31056,2924,290723,24832
